id_commande;date;heure_de_depart;pickup_lng;pickup_lat;dropoff_lng;dropoff_lat;nbPax;tstype
cmd192;01/01/2013;00:10;-73.98246;40.768501;-73.975479;40.784512;2;pickUpMinDateTime
cmd193;01/01/2013;00:10;-73.99305;40.741337;-74.012589;40.701569;2;pickUpMinDateTime
cmd194;01/01/2013;00:10;-73.991158;40.685532;-73.932289;40.707851;2;pickUpMinDateTime
cmd195;01/01/2013;00:10;-73.988823;40.670277;-74.00386800000001;40.711781;1;pickUpMinDateTime
cmd196;01/01/2013;00:10;-73.95330799999999;40.775826;-73.953049;40.807564;1;pickUpMinDateTime
cmd197;01/01/2013;00:10;-73.989037;40.752113;-74.001747;40.735626;1;pickUpMinDateTime
cmd198;01/01/2013;00:10;-73.96713299999999;40.756939;-73.968391;40.768082;1;pickUpMinDateTime
cmd199;01/01/2013;00:10;-73.988495;40.734604;-73.999573;40.738724;1;pickUpMinDateTime
cmd200;01/01/2013;00:10;-73.985855;40.7351;-73.996628;40.729584;1;pickUpMinDateTime
cmd201;01/01/2013;00:10;-73.981865;40.752876;-73.990509;40.751228000000005;2;pickUpMinDateTime
cmd202;01/01/2013;00:10;-73.982681;40.731316;-73.988251;40.749317;1;pickUpMinDateTime
cmd203;01/01/2013;00:10;-73.961143;40.71891;-73.99650600000001;40.681090999999995;1;pickUpMinDateTime
cmd204;01/01/2013;00:10;-73.957672;40.770267;-73.977089;40.776756;1;pickUpMinDateTime
cmd205;01/01/2013;00:10;-73.98706800000001;40.766178000000004;-74.006508;40.748627;3;pickUpMinDateTime
cmd206;01/01/2013;00:10;-73.987755;40.752296;-73.991173;40.723521999999996;1;pickUpMinDateTime
cmd207;01/01/2013;00:10;-74.003059;40.720093;-73.959076;40.763683;1;pickUpMinDateTime
cmd208;01/01/2013;00:10;-73.99745899999999;40.721515999999994;-73.952682;40.768337;1;pickUpMinDateTime
cmd209;01/01/2013;00:10;-74.008049;40.717587;-73.984421;40.738583;1;pickUpMinDateTime
cmd210;01/01/2013;00:10;-73.984177;40.729271000000004;-74.00346400000001;40.723929999999996;3;pickUpMinDateTime
cmd211;01/01/2013;00:10;-73.980965;40.744597999999996;-73.992378;40.73558;1;pickUpMinDateTime
cmd212;01/01/2013;00:10;-73.997864;40.716934;-73.99807;40.717003000000005;1;pickUpMinDateTime
cmd213;01/01/2013;00:10;-73.995987;40.753868;-74.01516;40.709816;1;pickUpMinDateTime
cmd214;01/01/2013;00:10;-73.965164;40.755199;-73.95961;40.775253;2;pickUpMinDateTime
cmd215;01/01/2013;00:10;-73.98344399999999;40.730228000000004;-74.001083;40.736408000000004;1;pickUpMinDateTime
